Distance,IR,Ultrasonic_Label,IR_Label,Final_Class
180,1014,Clear,CRACK DETECTED,CRACK
180,1015,Clear,CRACK DETECTED,CRACK
183,1017,Clear,CRACK DETECTED,CRACK
181,1016,Clear,CRACK DETECTED,CRACK
308,1017,Clear,CRACK DETECTED,CRACK
31,1017,Clear,CRACK DETECTED,CRACK
35,1017,Clear,CRACK DETECTED,CRACK
31,1016,Clear,CRACK DETECTED,CRACK
20,1016,Detected,CRACK DETECTED,CRACK+OBSTACLE
16,1016,Detected,CRACK DETECTED,CRACK+OBSTACLE
14,35,Detected,NO CRACK,OBSTACLE
16,33,Detected,NO CRACK,OBSTACLE
0,33,Detected,NO CRACK,OBSTACLE
14,33,Detected,NO CRACK,OBSTACLE
17,33,Detected,NO CRACK,OBSTACLE
18,33,Detected,NO CRACK,OBSTACLE
18,33,Detected,NO CRACK,OBSTACLE
19,33,Detected,NO CRACK,OBSTACLE
22,33,Detected,NO CRACK,OBSTACLE
25,33,Detected,NO CRACK,OBSTACLE
25,33,Detected,NO CRACK,OBSTACLE
198,33,Clear,NO CRACK,NORMAL
34,32,Clear,NO CRACK,NORMAL
38,33,Clear,NO CRACK,NORMAL
34,33,Clear,NO CRACK,NORMAL
285,32,Clear,NO CRACK,NORMAL
22,33,Detected,NO CRACK,OBSTACLE
21,1016,Detected,CRACK DETECTED,CRACK+OBSTACLE
19,1016,Detected,CRACK DETECTED,CRACK+OBSTACLE
15,1016,Detected,CRACK DETECTED,CRACK+OBSTACLE
13,1017,Detected,CRACK DETECTED,CRACK+OBSTACLE
10,626,Detected,CRACK DETECTED,CRACK+OBSTACLE
9,1016,Detected,CRACK DETECTED,CRACK+OBSTACLE
6,34,Detected,NO CRACK,OBSTACLE
6,1016,Detected,CRACK DETECTED,CRACK+OBSTACLE
5,38,Detected,NO CRACK,OBSTACLE
8,36,Detected,NO CRACK,OBSTACLE
8,41,Detected,NO CRACK,OBSTACLE
12,1015,Detected,CRACK DETECTED,CRACK+OBSTACLE
16,1016,Detected,CRACK DETECTED,CRACK+OBSTACLE
18,32,Detected,NO CRACK,OBSTACLE
18,33,Detected,NO CRACK,OBSTACLE
21,33,Detected,NO CRACK,OBSTACLE
23,1016,Detected,CRACK DETECTED,CRACK+OBSTACLE
22,1016,Detected,CRACK DETECTED,CRACK+OBSTACLE
296,1016,Clear,CRACK DETECTED,CRACK
295,33,Clear,NO CRACK,NORMAL
34,33,Clear,NO CRACK,NORMAL
35,32,Clear,NO CRACK,NORMAL
304,1016,Clear,CRACK DETECTED,CRACK
304,1017,Clear,CRACK DETECTED,CRACK
40,33,Clear,NO CRACK,NORMAL
52,33,Clear,NO CRACK,NORMAL
304,33,Clear,NO CRACK,NORMAL
304,391,Clear,NO CRACK,NORMAL
307,1017,Clear,CRACK DETECTED,CRACK
35,1017,Clear,CRACK DETECTED,CRACK
34,33,Clear,NO CRACK,NORMAL
26,33,Detected,NO CRACK,OBSTACLE
24,1016,Detected,CRACK DETECTED,CRACK+OBSTACLE
22,1017,Detected,CRACK DETECTED,CRACK+OBSTACLE
22,1017,Detected,CRACK DETECTED,CRACK+OBSTACLE
17,33,Detected,NO CRACK,OBSTACLE
23,33,Detected,NO CRACK,OBSTACLE
31,33,Clear,NO CRACK,NORMAL
40,1017,Clear,CRACK DETECTED,CRACK
198,1016,Clear,CRACK DETECTED,CRACK
45,1016,Clear,CRACK DETECTED,CRACK
49,1017,Clear,CRACK DETECTED,CRACK
50,1017,Clear,CRACK DETECTED,CRACK
44,1017,Clear,CRACK DETECTED,CRACK
179,1017,Clear,CRACK DETECTED,CRACK
26,33,Detected,NO CRACK,OBSTACLE
18,33,Detected,NO CRACK,OBSTACLE
12,33,Detected,NO CRACK,OBSTACLE
179,33,Clear,NO CRACK,NORMAL
181,33,Clear,NO CRACK,NORMAL
179,33,Clear,NO CRACK,NORMAL
26,1017,Detected,CRACK DETECTED,CRACK+OBSTACLE
35,1017,Clear,CRACK DETECTED,CRACK
38,1017,Clear,CRACK DETECTED,CRACK
